id,sent1,sent2,ending0,ending1,ending2,ending3,ending4,end0type,end1type,end2type,end3type,end4type,label
8041,like watching sports,,try throwing a ball to the girl and explain how to hit it.,watch the baseball players closely,copy the man's pose on the tennis court,watch julia goerges and maria kirilenko play doubles at wimbledon,tell the boy to be careful with his tennis racket.,lan,lan,vis,targ,vis,3
8042,am feeling competitive,,be concerned about the tennis player who fell down,play baseball with others,play baseball with friends.,play tennis.,warn the older man to watch out for the tennis racket,vis,lan,lan,targ,vis,3
8043,want to entertain my daughter,,play tennis in dress clothes,watch the players at the tennis tournament,i will hit the ball,i will let her hold my tennis racket,watch the ball and swing my bat,vis,vis,lan,targ,lan,3
8044,want to play a game,,watch the tennis player as he plays,play with the volleyball,throw a ball at the girl's racket so she can hit it,bring my girl to her softball game,i will sit down and watch a tennis match,vis,lan,targ,lan,vis,2
8045,was feeling sporty,,warn the older man to watch out for the tennis racket,play tennis with my friends,play baseball with my friends,be concerned about the tennis player who fell down,play a frisbee match at the local park with some friends,vis,targ,lan,vis,lan,1
8046,feel athletic,,i throw my frisbee,play with my frisbee,leave the women playing tennis.,hit the tennis ball with my racket.,watch julia goerges and maria kirilenko play doubles at wimbledon,lan,lan,vis,targ,vis,3
8047,wanted to exercise,,throw another tennis ball at the player,play tennis,shed a tear and applaud my favourite tennis player of all time.,wait until the man is done with his racquet,play soccer with another person,lan,targ,vis,vis,lan,1
8048,if i liked to play,,i will play tennis with the woman,i will attend a soccer game,sit down and watch the girl play ball,watch the tennis player hit the ball with his racquet,wait until the man is done with his racquet,targ,lan,lan,vis,vis,0
8049,feel like joining in the game,,cheer for the tennis player,i will hope the woman wins the tennis match,pick up a ball and racket and play tennis,play baseball with them,hit the ball with the racket,vis,vis,targ,lan,lan,2
8050,want to get a workout,,i will hope the woman wins the tennis match,play some frisbee with friends,play some tennis,play baseball with friends.,shed a tear and applaud my favourite tennis player of all time.,vis,lan,targ,lan,vis,2
8051,competitive,,play soccer,wait until the man is done with his racquet,warn the older man to watch out for the tennis racket,play baseball with my friends,play tennis with the woman,lan,vis,vis,lan,targ,4
8052,want to win,,shed a tear and applaud my favourite tennis player of all time.,be concerned about the tennis player who fell down,hit the ball with the racket,practice with a tennis ball,use the raquet to hit the ball,vis,vis,lan,targ,lan,3
8053,want a good photograph,,take a photo of the man doing tricks with the frisbee,laugh at the man playing with the frisbee,go to watch a tennis match when i can,buy a ticket to the tennis tournament,capture the man playing tennis in the air,lan,lan,vis,vis,targ,4
8054,want to exercise for an hour,,play a really good basketball match,bounce a tennis ball around,go to the tennis court and play against the black man,snap a picture of the tennis racket,play baseball with friends,lan,vis,targ,vis,lan,2
8055,want to do something fun on the weekend,,go to the baseball park and have a game,i will let her hold my tennis racket,go to a tennis court,be concerned about the tennis player who fell down,play baseball with others,lan,vis,targ,vis,lan,2
8056,if i tried that sport i would fall on my face.,,shed a tear and applaud my favourite tennis player of all time.,i will learn to play tennis.,watch julia goerges and maria kirilenko play doubles at wimbledon,throw another tennis ball at the player,play baseball and beat my opponents,vis,targ,vis,lan,lan,1
8057,want to exercise,,play baseball with my friends,play tennis,wait until the man is done with his racquet,shed a tear and applaud my favourite tennis player of all time.,play a game of baseball with friends.,lan,targ,vis,vis,lan,1
8058,don't know how to play,,watch the small child learn to play baseball,go more often to my tennis classes and learn more about the game,warn the older man to watch out for the tennis racket,hope that the tennis ball falls on the man,play a sport with the man,lan,targ,vis,vis,lan,1
8059,want to have fun,,play baseball with friends.,shed a tear and applaud my favourite tennis player of all time.,watch a tennis match,play a game of baseball with friends.,warn the older man to watch out for the tennis racket,lan,vis,targ,lan,vis,2
8060,want to feel like a winner,,shed a tear and applaud my favourite tennis player of all time.,play tennis and challenge a call,play a game of softball with the little girl,go to watch a tennis match when i can,play baseball,vis,targ,lan,vis,lan,1
8061,want to take an epic picture,,play a game of volleyball with these people,join in with the boys and play some tennis,grab a tennis racket and start waving it around like a sword,capture tennis players in mid shots,cheer when the batter finishes hitting the ball,lan,vis,vis,targ,lan,3
8062,was there i'd be wondering who was winning,,try to enjoy the tennis match,shed a tear and applaud my favourite tennis player of all time.,graduate to playing on the court,play a really good basketball match,play baseball with friends,targ,vis,vis,lan,lan,0
8063,want to work out,,i will hope the woman wins the tennis match,shed a tear and applaud my favourite tennis player of all time.,play a game of baseball with friends.,play baseball with friends,play tennis,vis,vis,lan,lan,targ,4
8064,want to excercise,,play tennis with the woman,play soccer with another person,warn the older man to watch out for the tennis racket,wait until the man is done with his racquet,throw another tennis ball at the player,targ,lan,vis,vis,lan,0
8065,want to feel tired,,play several hours of tennis,shed a tear and applaud my favourite tennis player of all time.,play video games or watch tv,hope that the tennis ball falls on the man,play frisbee with friends,targ,vis,lan,vis,lan,0
8066,feel i need to improve fitness,,i will hope the woman wins the tennis match,hope that the tennis ball falls on the man,throw another tennis ball at the player,take up tennis,play a sport with the man,vis,vis,lan,targ,lan,3
8067,feel sporty,,play baseball with others,wait until the man is done with his racquet,shed a tear and applaud my favourite tennis player of all time.,play baseball with my friends,play tennis,lan,vis,vis,lan,targ,4
8068,feel like getting in a workout,,shed a tear and applaud my favourite tennis player of all time.,wait until the man is done with his racquet,play tennis.,play a game of baseball with friends.,play baseball with the women,vis,vis,targ,lan,lan,2
8069,want to get better at sports,,use my racquet to hit the ball,practice tennis,warn the older man to watch out for the tennis racket,shed a tear and applaud my favourite tennis player of all time.,hit the ball with the racket,lan,targ,vis,vis,lan,1
8070,feel like being bored,,graduate to playing on the court,shed a tear and applaud my favourite tennis player of all time.,watch a tennis match,play a game of baseball with friends.,play baseball with my mates,vis,vis,targ,lan,lan,2
8071,am feeling like getting some exercise,,play soccer with a group of people,shed a tear and applaud my favourite tennis player of all time.,play baseball with the boys on the field.,play tennis with the men.,hope that the tennis ball falls on the man,lan,vis,lan,targ,vis,3
8072,want to do something out of my element,,hit a ball with a bat and play baseball.,shake hands with fellow players after a game of tennis,cheer for the tennis player,will run to hit the ball with my racket,find this court and grab a tennis raquet.,lan,vis,vis,lan,targ,4
8073,want to get in a good work out,,take the tennis ball and hide it,i would play tennis against this man,play rugby with this guy,i would kick the ball,watch a match of tennis and make notes,vis,targ,lan,lan,vis,1
8074,am bored,,compare images of me hitting the tennis ball with my racket to improve my game,be concerned about the tennis player who fell down,stop and watch thebaseball game,watch the cricket game,take my dog and go and watch the cricket,vis,vis,lan,targ,lan,3
8075,want to try a different sport,,see if the woman hits the tennis ball with her racket,step onto the tennis court and show the man how to serve,learn to play cricket.,go the field and play baseball,play a sport with the man,vis,vis,targ,lan,lan,2
8076,want to hit hard to receive an ovation,,graduate to playing on the court,shed a tear and applaud my favourite tennis player of all time.,watch the ball and swing my bat,practice cricket with the bat and the ball,hit the ball with the racket very strong,vis,vis,lan,targ,lan,3
8077,want to be entertained,,use my tennis racket to bounce a ball off it as many times as possible without dropping it,hope that the tennis ball falls on the man,watch a baseball game,watch the players at the tennis tournament,watch the softball game.,vis,vis,lan,targ,lan,3
8078,want to relieve stress,,be concerned about the tennis player who fell down,hope that the tennis ball falls on the man,play baseball with friends.,play baseball with others,play tennis.,vis,vis,lan,lan,targ,4
8079,feel like losing weight and having fun,,shed a tear and applaud my favourite tennis player of all time.,i will hope the woman wins the tennis match,play frisbee with people,play a sport like tennis,play baseball with friends.,vis,vis,lan,targ,lan,3
